Laatste update: 02-11-2021,,
BIC,Identifier,Naam betaaldienstverlener
ABNANL2A,ABNA,ABN AMRO BANK
ABNCNL2A,ABNC,ABN AMRO Clearing Bank N.V.
ADYBNL2A,ADYB,ADYEN
AEGONL2U,AEGO,AEGON BANK
ANDLNL2A,ANDL,ANADOLUBANK
ARBNNL22,ARBN,ACHMEA BANK
ARSNNL21,ARSN,ARGENTA SPAARBANK
ASNBNL21,ASNB,ASN BANK
ATBANL2A,ATBA,AMSTERDAM TRADE BANK
BARCNL22,BARC,BARCLAYS BANK
BCITNL2A,BCIT,INTESA SANPAOLO
BICKNL2A,BICK,BINCKBANK
BINKNL21,BINK,"BINCKBANK, PROF"
BITSNL2A,BITS,BITSAFE PAYMENTS
BKCHNL2R,BKCH,BANK OF CHINA
BKMGNL2A,BKMG,BANK MENDES GANS
BLGWNL21,BLGW,BLG WONEN
BNDANL2A,BNDA,BRAND NEW DAY BANK
BNGHNL2G,BNGH,BANK NEDERLANDSE GEMEENTEN
BNPANL2A,BNPA,BNP PARIBAS
BOFANLNX,BOFA,BANK OF AMERICA
BOFSNL21002,BOFS,"BANK OF SCOTLAND, AMSTERDAM"
BOTKNL2X,BOTK,MUFG BANK
BUNQNL2A,BUNQ,BUNQ
CHASNL2X,CHAS,JPMORGAN CHASE
CITCNL2A,CITC,CITCO BANK
CITINL2X,CITI,CITIBANK INTERNATIONAL
COBANL2X,COBA,COMMERZBANK
CCBVNL2A,CCBV,Currencycloud B.V.
DELENL22,DELE,OYENS & VAN EEGHEN - part of Delen Private Bank
DEUTNL2A,DEUT,DEUTSCHE BANK (bij alle SEPA-transacties)
DHBNNL2R,DHBN,DEMIR-HALK BANK
DLBKNL2A,DLBK,DELTA LLOYD BANK
DNIBNL2G,DNIB,NIBC
EBPBNL22,EBPB,EBURY NETHERLANDS (Brussel entiteit)
EBURNL21,EBUR,EBURY NETHERLANDS (Londen entiteit)
FBHLNL2A,FBHL,CREDIT EUROPE BANK
FLORNL2A,FLOR,DE NEDERLANDSCHE BANK
FRNXNL2A,FRNX,FRANX
FVLBNL22,FVLB,VAN LANSCHOT
FXBBNL22,FXBB,IBANFIRST
GILLNL2A,GILL,INSINGERGILISSEN
HANDNL2A,HAND,SVENSKA HANDELSBANKEN
HHBANL22,HHBA,HOF HOORNEMAN BANKIERS
HIFXNL2A,HIFX,Xe Europe BV
HSBCNL2A,HSBC,HSBC BANK
ICBCNL2A,ICBC,MEGA INTERNATIONAL COMMERCIAL BANK
ICBKNL2A,ICBK,INDUSTRIAL & COMMERCIAL BANK OF CHINA
ICEPNL21,ICEP,ICEPAY
INGBNL2A,INGB,ING
ISAENL2A,ISAE,"CACEIS BANK, Netherlands Branch"
ISBKNL2A,ISBK,ISBANK
KABANL2A,KABA,YAPI KREDI BANK
KNABNL2H,KNAB,KNAB
KOEXNL2A,KOEX,KEB HANA BANK
KREDNL2X,KRED,KBC BANK
LOYDNL2A,LOYD,LLOYDS TSB BANK
LPLNNL2F,LPLN,LEASEPLAN CORPORATION
MHCBNL2A,MHCB,MIZUHO BANK EUROPE NV
MOYONL21,MOYO,MONEYOU * expected expiry date 1 September 2021 *
NNBANL2G,NNBA,NATIONALE-NEDERLANDEN BANK
NWABNL2G,NWAB,NEDERLANDSE WATERSCHAPSBANK
PCBCNL2A,PCBC,"CHINA CONSTRUCTION BANK, AMSTERDAM BRANCH"
RABONL2U,RABO,RABOBANK
RBRBNL21,RBRB,REGIOBANK
SNSBNL2A,SNSB,SNS
SOGENL2A,SOGE,SOCIETE GENERALE
TRIONL2U,TRIO,TRIODOS BANK
UGBINL2A,UGBI,GARANTIBANK INTERNATIONAL
VOWANL21,VOWA,VOLKSWAGEN BANK
VPAYNL22,VPAY,VIVA PAYMENT SERVICES S.A.
VTPSNL2R,VTPS,Vitesse PSP
ZWLBNL21,ZWLB,SNS ( ex ZWITSERLEVENBANK)
